PP,Date,Time,Task,Auditory,Visual,epsilon,trial,TEstim,TEpp,dimstim,dimpp,taustim,taupp,C,rmse,tau,cbyrmse,dimhatstim,dimhatpp,tauhatstim,tauhatpp,permtest12,permtest21,interactdelay12,interactdelay21,surrprop12,surrprop21
5,200122,123246,2,1,0,0,8,-0.0118340735540297,-0.00973394662368809,3,3,0.408163265306122,0.387755102040816,0.265,0.567,-0.012,2.14,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.1025,0.405833333333333
5,200122,123359,2,1,0,0,9,-0.0101168730936001,-0.00899075911328451,3,3,0.408163265306122,0.408163265306122,0.213,0.506,-0.09,2.38,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.183333333333333,0.499166666666667
5,200122,123508,2,1,0,0,10,-0.0151206504278443,-0.020182118684124,3,3,0.408163265306122,0.387755102040816,0.186,0.544,-0.098,2.927,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.02,0
5,200122,124448,2,1,0,0,11,0.0034727750108523,-0.0177070460686031,3,3,0.408163265306122,0.387755102040816,0.198,0.503,0.023,2.536,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.976666666666667,0.00166666666666667
5,200122,124609,2,1,0,0,12,-0.00480290828160546,-0.00462966455683089,3,3,0.408163265306122,0.408163265306122,0.514,0.714,0.017,1.388,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.578333333333333,0.92
5,200122,124732,2,1,0,0,13,0.00700805823944828,-0.00993373419443411,3,3,0.408163265306122,0.387755102040816,0.192,0.498,-0.151,2.595,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.995,0.384166666666667
5,200122,124917,2,1,0,0,14,-0.00106199993858769,-0.0148894957927992,3,3,0.408163265306122,0.387755102040816,0.189,0.503,-0.112,2.657,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.836666666666667,0.0308333333333333
5,200122,125035,2,1,0,0,15,0.00108550877089764,-0.010474800376632,3,3,0.408163265306122,0.387755102040816,0.213,0.51,-0.088,2.393,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.925,0.305
5,200122,125150,2,1,0,0,16,-0.0116191411180482,-0.00999006229280464,3,3,0.408163265306122,0.387755102040816,0.158,0.408,-0.176,2.588,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.118333333333333,0.375833333333333
5,200122,125302,2,1,0,0,17,-0.00414851765792612,-0.0128892730179759,3,3,0.408163265306122,0.387755102040816,0.236,0.608,-0.209,2.575,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.63,0.1125
5,200122,125414,2,1,0,0,18,-0.0041983368993217,-0.0114206097027965,3,3,0.408163265306122,0.387755102040816,0.231,0.579,-0.122,2.511,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.628333333333333,0.201666666666667
5,200122,125529,2,1,0,0,19,-0.00869039877617683,-0.0120084875233981,3,3,0.408163265306122,0.408163265306122,0.216,0.533,0.08,2.466,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.269166666666667,0.1625
5,200122,125645,2,1,0,0,20,0.00483017354140935,-0.0101510436580907,3,3,0.408163265306122,0.408163265306122,0.118,0.415,-0.071,3.531,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.989166666666667,0.350833333333333
5,200122,130033,2,1,0,0,21,0.00306297832702707,-0.0144145822191863,3,3,0.408163265306122,0.408163265306122,0.163,0.524,-0.117,3.212,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.970833333333333,0.0433333333333333
5,200122,130143,2,1,0,0,22,-0.00123270587295088,-0.0138876223595763,3,3,0.408163265306122,0.408163265306122,0.217,0.58,-0.092,2.677,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.830833333333333,0.0633333333333333
5,200122,130254,2,1,0,0,23,-0.00952620674465599,-0.00626515965954155,3,3,0.408163265306122,0.428571428571429,0.296,0.59,0.013,1.996,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.22,0.803333333333333
5,200122,130412,2,1,0,0,24,-0.00372144569976118,-0.00942130639660066,3,3,0.408163265306122,0.408163265306122,0.356,0.656,0.047,1.846,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.6525,0.4425
5,200122,130525,2,1,0,0,25,-0.00470246346007785,-0.0143330451167867,3,3,0.408163265306122,0.408163265306122,0.324,0.67,0.06,2.069,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.589166666666667,0.0458333333333333
5,200122,130635,2,1,0,0,26,-0.00106866507243808,-0.0175214100097465,3,3,0.408163265306122,0.408163265306122,0.214,0.494,-0.051,2.309,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.836666666666667,0.00166666666666667
5,200122,130748,2,1,0,0,27,-0.00217083514347172,-0.0183871652921941,3,3,0.408163265306122,0.408163265306122,0.157,0.42,0.009,2.678,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.775,0.00166666666666667
5,200122,130901,2,1,0,0,28,-0.00375354486596868,-0.0114771255536914,3,3,0.408163265306122,0.387755102040816,0.219,0.617,0.022,2.816,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.650833333333333,0.196666666666667
5,200122,131011,2,1,0,0,29,-0.00206500381581076,-0.0132268796301624,3,3,0.408163265306122,0.408163265306122,0.17,0.478,-0.015,2.815,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.781666666666667,0.0916666666666667
5,200122,131125,2,1,0,0,30,-0.0024739574372572,-0.0109445842200795,3,3,0.408163265306122,0.408163265306122,0.173,0.58,-0.054,3.359,5,5,0.17219387755102,0.153061224489796,NaN,NaN,190,50,0.755,0.249166666666667
5,200122,131821,2,1,0,0,31,-0.0139028241765802,-0.0103613209502398,3,3,0.408163265306122,0.408163265306122,0.378,0.751,-0.027,1.99,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.0375,0.320833333333333
5,200122,131935,2,1,0,0,32,0.00301572784986814,-0.0121185169367886,3,3,0.408163265306122,0.408163265306122,0.307,0.748,-0.063,2.439,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.969166666666667,0.153333333333333
5,200122,132045,2,1,0,0,33,-0.00204100709477451,-0.0140244199166408,3,3,0.408163265306122,0.408163265306122,0.239,0.624,0.035,2.609,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.783333333333333,0.0583333333333333
5,200122,132154,2,1,0,0,34,-0.0051680643182066,-0.0123034469426477,3,3,0.408163265306122,0.408163265306122,0.209,0.648,0.043,3.103,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.554166666666667,0.134166666666667
5,200122,132317,2,1,0,0,35,-0.00958413579091744,-0.00874817910017445,3,3,0.408163265306122,0.387755102040816,0.144,0.41,-0.033,2.854,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.215,0.540833333333333
5,200122,132435,2,1,0,0,36,0.00263998988579539,-0.0213046185280013,3,3,0.408163265306122,0.387755102040816,0.195,0.539,-0.1,2.764,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.96,0
5,200122,132548,2,1,0,0,37,0.00793608740596174,-0.0186628130011144,3,3,0.408163265306122,0.387755102040816,0.198,0.502,0.104,2.538,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.995833333333333,0.000833333333333333
5,200122,132658,2,1,0,0,38,0.00390213051848765,-0.00856763362217561,3,3,0.408163265306122,0.408163265306122,0.221,0.616,0.041,2.792,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.984166666666667,0.5675
5,200122,132808,2,1,0,0,39,-0.0123650039737666,-0.0158864459063488,3,3,0.408163265306122,0.36734693877551,0.119,0.43,0.034,3.618,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.0825,0.0133333333333333
5,200122,132929,2,1,0,0,40,-0.00572446927760439,-0.0108698203989455,3,3,0.408163265306122,0.408163265306122,0.237,0.737,-0.037,3.11,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.515833333333333,0.261666666666667
6,200123,94347,2,1,0,0,1,-0.00732758872459027,-0.0136498682892159,3,3,0.441860465116279,0.511627906976744,0.172,0.427,-0.282,2.484,5,5,0.174418604651163,0.218023255813953,NaN,NaN,50,210,0.404166666666667,0.0616666666666667
6,200123,94509,2,1,0,0,2,-0.00159960153312877,0.00258278186896854,3,3,0.441860465116279,0.441860465116279,0.3,0.595,-0.172,1.979,5,5,0.174418604651163,0.174418604651163,NaN,NaN,50,210,0.7925,0.9975
6,200123,94618,2,1,0,0,3,-0.0108083407525299,-0.00862066150514096,3,3,0.441860465116279,0.465116279069767,0.362,0.633,-0.086,1.748,5,5,0.152616279069767,0.174418604651163,NaN,NaN,50,210,0.208333333333333,0.458333333333333
6,200123,94726,2,1,0,0,4,-0.00743202779952212,-0.00731669958156855,3,3,0.418604651162791,0.418604651162791,0.393,0.489,-0.105,1.242,5,5,0.152616279069767,0.152616279069767,NaN,NaN,50,210,0.396666666666667,0.584166666666667
6,200123,94832,2,1,0,0,5,0.00321166303742659,-3.72083687272262e-05,3,3,0.441860465116279,0.441860465116279,0.451,0.534,-0.08,1.184,5,5,0.152616279069767,0.152616279069767,NaN,NaN,50,210,0.9475,0.980833333333333
6,200123,94939,2,1,0,0,6,-0.0021319160816089,-0.0133944848507854,3,3,0.418604651162791,0.441860465116279,0.364,0.493,-0.047,1.357,5,5,0.174418604651163,0.174418604651163,NaN,NaN,50,210,0.761666666666667,0.0683333333333333
6,200123,95045,2,1,0,0,7,-0.00561373563943746,0.00660367048265464,3,3,0.418604651162791,0.441860465116279,0.468,0.639,-0.137,1.366,5,5,0.152616279069767,0.152616279069767,NaN,NaN,50,210,0.52,1
6,200123,95151,2,1,0,0,8,0.000975078158277132,-0.0126679955401701,3,3,0.441860465116279,0.441860465116279,0.352,0.552,-0.038,1.571,5,5,0.174418604651163,0.152616279069767,NaN,NaN,50,210,0.8975,0.0916666666666667
6,200123,95256,2,1,0,0,9,-0.00479892244318081,-0.0139347033272943,3,3,0.395348837209302,0.418604651162791,0.372,0.493,-0.036,1.326,5,5,0.152616279069767,0.152616279069767,NaN,NaN,50,210,0.586666666666667,0.0533333333333333
6,200123,95402,2,1,0,0,10,-0.0152073904907979,-0.0136663596553825,3,3,0.418604651162791,0.511627906976744,0.352,0.563,-0.087,1.598,5,5,0.152616279069767,0.152616279069767,NaN,NaN,50,210,0.0525,0.0616666666666667
6,200123,95735,2,1,0,0,11,0.00738431445235688,-0.014893579662479,3,3,0.418604651162791,0.441860465116279,0.412,0.608,-0.058,1.474,5,5,0.152616279069767,0.174418604651163,NaN,NaN,50,210,0.990833333333333,0.0325
6,200123,95841,2,1,0,0,12,0.00847679800576207,-0.00627048816156295,3,3,0.418604651162791,0.488372093023256,0.351,0.71,-0.069,2.021,5,5,0.152616279069767,0.174418604651163,NaN,NaN,50,210,0.9925,0.675833333333333
6,200123,95948,2,1,0,0,13,-0.00652517163793687,-0.0157455638472881,3,3,0.418604651162791,0.511627906976744,0.297,0.595,-0.064,2.001,5,5,0.152616279069767,0.152616279069767,NaN,NaN,50,210,0.4525,0.02
6,200123,100054,2,1,0,0,14,-0.00047344416348305,0.00145254747829116,3,3,0.395348837209302,0.418604651162791,0.387,0.518,-0.043,1.338,5,5,0.152616279069767,0.152616279069767,NaN,NaN,50,210,0.8425,0.994166666666667
6,200123,100200,2,1,0,0,15,-0.00229074984620503,-0.0219377267432788,3,3,0.418604651162791,0.418604651162791,0.209,0.443,-0.105,2.115,5,5,0.174418604651163,0.174418604651163,NaN,NaN,50,210,0.749166666666667,0.000833333333333333
6,200123,100310,2,1,0,0,16,0.00215394708347305,-0.0046677949968934,3,3,0.418604651162791,0.441860465116279,0.377,0.643,-0.114,1.704,5,5,0.152616279069767,0.174418604651163,NaN,NaN,50,210,0.930833333333333,0.819166666666667
6,200123,100416,2,1,0,0,17,0.00110418732588924,-0.012350938783702,3,3,0.418604651162791,0.441860465116279,0.45,0.59,-0.024,1.311,5,5,0.152616279069767,0.152616279069767,NaN,NaN,50,210,0.899166666666667,0.109166666666667
6,200123,100523,2,1,0,0,18,0.00248021196524917,-0.00381693118802606,3,3,0.418604651162791,0.418604651162791,0.577,0.674,-0.067,1.167,5,5,0.152616279069767,0.152616279069767,NaN,NaN,50,210,0.936666666666667,0.88
6,200123,100629,2,1,0,0,19,0.00319074782304551,-0.010259924222924,3,3,0.418604651162791,0.418604651162791,0.481,0.6,-0.074,1.247,5,5,0.152616279069767,0.152616279069767,NaN,NaN,50,210,0.946666666666667,0.273333333333333
6,200123,100736,2,1,0,0,20,0.00102478844975851,-0.00382411016223227,3,3,0.418604651162791,0.418604651162791,0.524,0.702,-0.103,1.339,5,5,0.152616279069767,0.152616279069767,NaN,NaN,50,210,0.898333333333333,0.88
