"pp","task_label","Training","score_PreTest","score_PostTest","score_Retention","c_PreTest","c_PostTest","c_Retention","pitch_error_PreTest","pitch_error_PostTest","pitch_error_Retention","te12rescaled_PreTest","te12rescaled_PostTest","te12rescaled_Retention","te21rescaled_PreTest","te21rescaled_PostTest","te21rescaled_Retention"
"22","Chaotic","Periodic Fixed",0.124,0.326333333333333,0.3024,0.362,0.483666666666667,0.4822,3.039,1.50133333333333,1.627,-0.309348305088273,0.995817665107566,2.36781035686135,0.430821516103958,0.0480634249216943,1.71762045455437
"22","Chaotic Visual","Periodic Fixed",1.29,1.16933333333333,1.2288,0.567,0.465333333333333,0.5088,0.441,0.400666666666667,0.4166,2.2412831455213,2.19853059978444,2.29256104554217,0.915402190728408,1.25581079319974,0.514783288864291
"22","Periodic Fadeout (SCT)","Periodic Fixed",0.2216,0.326333333333333,0.422,0.7286,0.860333333333333,0.8802,3.373,2.63766666666667,2.1592,-1.27074845854604,-0.163406970374049,-0.11133679793869,-0.025354628370148,0.235509044886499,0.0628745316566601
"22","Periodic Fixed","Periodic Fixed",0.2548,0.452333333333333,0.283,0.7606,0.829333333333333,0.8116,3.0524,1.84166666666667,2.9246,0.420451273977505,-0.182343296366329,-0.093293034545234,0.13300867643943,-0.890793967265298,1.2776368216226
"23","Chaotic","Chaotic Non-interactive",0.3504,0.418666666666667,0.3544,0.5034,0.521666666666667,0.5166,1.4364,1.251,1.4558,4.00547223355992,3.6370386973832,4.61882144374921,0.571708746532175,1.14837126103678,0.904740741664132
"23","Chaotic Visual","Chaotic Non-interactive",1.3796,1.253,1.5186,0.6186,0.520666666666667,0.5732,0.4498,0.417666666666667,0.3866,4.45095895092766,4.87606732478293,4.26519992176014,1.26030655761078,1.8235048289533,1.62759888463762
"23","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.5446,0.484666666666667,0.6486,0.9362,0.927333333333333,0.9378,1.7618,2.077,1.4694,0.204207343083066,0.57679728899269,-0.125284598490198,-0.53294849724109,0.04100149675022,-0.810234241905401
"23","Periodic Fixed","Chaotic Non-interactive",0.5514,0.636333333333333,0.4444,0.8448,0.927666666666667,0.9218,1.5338,1.51133333333333,2.0986,-0.00489246540860218,0.527517920690105,0.662414247334789,-0.247686071709395,0.17312721564592,-0.913990903741101
"24","Chaotic","Periodic Fixed",0.3564,0.346666666666667,0.345,0.4496,0.502,0.5376,1.321,1.466,1.5818,3.41179331722928,4.05941163014517,2.26002568198711,-0.0835007283114554,-0.303415689080824,-0.21617260744575
"24","Chaotic Visual","Periodic Fixed",1.6964,1.63266666666667,1.7822,0.6448,0.644333333333333,0.7242,0.38,0.395666666666667,0.4058,4.22176489617034,3.88912266311026,4.45083416005595,1.09969738267298,1.29772744820532,0.885457169679162
"24","Periodic Fadeout (SCT)","Periodic Fixed",0.5392,0.724,0.5796,0.9286,0.963666666666667,0.9574,1.874,1.35866666666667,1.6932,0.443505222373962,-0.183668255243571,0.627280549518218,-0.707732860476886,0.341215319278316,-0.393248968926233
"24","Periodic Fixed","Periodic Fixed",0.5272,0.471333333333333,0.4258,0.8782,0.906,0.7822,1.7326,1.92866666666667,1.8348,0.724295603342356,0.611007094960153,-0.491803597500672,-0.0180057365769542,-0.62284477147379,-0.619552825234281
"25","Chaotic","Chaotic Interactive",0.2888,0.468,0.3834,0.4414,0.499333333333333,0.4862,1.5684,1.06666666666667,1.2754,1.45397663135401,1.60930643053233,1.58107160312033,1.36566409099372,-0.261737217752928,0.0749270691318942
"25","Chaotic Visual","Chaotic Interactive",1.8062,1.68266666666667,2.0334,0.6564,0.609333333333333,0.7134,0.3636,0.362333333333333,0.351,3.31087350263305,4.42227230407255,3.96840195491103,0.740747530089921,0.283938797451779,0.576230726180293
"25","Periodic Fadeout (SCT)","Chaotic Interactive",0.227,0.318,0.3558,0.7602,0.852,0.8634,3.4734,2.68666666666667,2.486,-0.779125715809898,0.00740191885978557,-0.703426255173009,0.0403582165478197,0.597864608307294,0.129429939781934
"25","Periodic Fixed","Chaotic Interactive",0.3236,0.517666666666667,0.5194,0.7028,0.726666666666667,0.7766,2.2046,1.40833333333333,1.614,-0.335164597667867,0.751049826373195,0.25095857826204,0.394624725374575,-0.267049663481748,0.119188908629304
"26","Chaotic","Chaotic Interactive",0.2116,0.227,0.476,0.44,0.402666666666667,0.5574,2.4554,2.13266666666667,1.185,1.24799316103697,1.76406600643071,3.61486325929275,0.0433741555620995,0.893869539124672,1.13890398741426
"26","Chaotic Visual","Chaotic Interactive",1.4746,1.46433333333333,1.5818,0.5624,0.547333333333333,0.6494,0.3802,0.373666666666667,0.4104,3.88798350724931,3.93814107525106,4.97378978296462,0.472869873691195,0.898090622926347,2.25584202868289
