"pp","Task Label","Training","c Delta% PostTest","c Delta% Retention","Pitch Error Delta% PostTest","Pitch Error Delta% Retention","Score Delta% PostTest","Score Delta% Retention","TE S-U Delta% PostTest","TE S-U Delta% Retention","TE U-S Delta% PostTest","TE U-S Delta% Retention"
"19","Periodic Fadeout (SCT)","Chaotic Non-interactive",-4.10958904109589,-2.97517123287671,-31.6913347429377,-9.52054403108749,39.517896274653,5.8436815193572,-45.6688522305562,-126.578394930524,-240.12176908982,781.395217582597
"19","Periodic Fixed","Chaotic Non-interactive",6.54646919939902,16.6258853831294,23.428685537417,95.9802306425041,-12.7001067235859,-40.2774813233725,15001.2359675993,7217.36676709242,32.6042989264447,-158.5075451864
"20","Chaotic","Chaotic Non-interactive",0.310332238043078,15.6078860898138,-11.7739157664005,-26.7496477219352,13.7761377613776,56.8265682656826,25.1851251992563,44.5582574979508,-130.027270784549,-630.657382559588
"20","Chaotic Visual","Chaotic Non-interactive",-11.4958290481088,2.36544394926295,0.450196961170509,-2.25098480585256,-12.233827220468,4.74860335195531,30.9677191736778,40.2739657009386,19.7994466545548,47.6197720009438
"20","Periodic Fadeout (SCT)","Chaotic Non-interactive",6.13890846448986,6.62438336856942,-2.01650576144504,-10.9701027717222,2.04841713221602,12.122905027933,-27.0037689057674,0.31799548541506,101.789556690109,-84.2186776808973
"20","Periodic Fixed","Chaotic Non-interactive",-3.11306185483215,-20.848573518654,-2.76460614420782,-17.4497801534615,0.392596747055528,-4.87941671340437,-133.28481745599,38.1822415737578,-62.7281210739879,-111.968997352153
"21","Chaotic","Periodic Fixed",9.48310948310949,16.4835164835165,-29.6190893169877,-19.4505253940455,55.4154302670623,49.6290801186944,122.431822369149,152.585744834693,560.414817379311,289.303093214889
"21","Chaotic Visual","Periodic Fixed",2.48723073506552,0.799467021985348,4.71441523118768,-16.0018132366274,-1.24450951683747,19.9414348462665,65.9836721493862,61.9145087062442,116.376000647813,133.094223909812
"21","Periodic Fadeout (SCT)","Periodic Fixed",6.59948626753607,18.968583283936,-0.699276491155183,-33.4562259840067,5.80836108028118,81.1320754716981,-403.591210401619,-359.460200168028,-425.274642984879,-291.871315802446
"21","Periodic Fixed","Periodic Fixed",37.1132779583484,40.6644998194294,-17.1188279978296,-21.6947006691988,63.681204569055,80.607476635514,-199.66326799983,-91.527071256153,482.684420230021,348.037294879455
"22","Chaotic","Periodic Fixed",33.609576427256,33.2044198895028,-50.59778435889,-46.4626521882198,163.172043010753,143.870967741935,-421.908233770153,-865.418888002536,-88.8437733202497,298.684928758272
"22","Chaotic Visual","Periodic Fixed",-17.9306290417401,-10.2645502645502,-9.145880574452,-5.5328798185941,-9.35400516795866,-4.74418604651162,-1.90750311143398,2.28788139166342,37.1867804030987,-43.7642498479641
"22","Periodic Fadeout (SCT)","Periodic Fixed",18.0803367188215,20.8070271754049,-21.8005731791679,-35.9857693447969,47.2623345367028,90.4332129963899,-87.1408877756172,-91.23848648488,-1028.86017277927,-347.980489947497
"22","Periodic Fixed","Periodic Fixed",9.0367253922342,6.70523271101761,-39.6649630891539,-4.1868693487092,77.5248560962847,11.0675039246468,-143.36847279385,-122.188786268305,-769.726209681481,860.566525300637
"23","Chaotic","Chaotic Non-interactive",3.62865845583366,2.62216924910605,-12.9072681704261,1.35059871901978,19.482496194825,1.14155251141553,-9.19825465496429,15.3127814755604,100.866484552226,58.2520377993228
"23","Chaotic Visual","Chaotic Non-interactive",-15.8314473542408,-7.33915292596185,-7.14391581443604,-14.0506891951979,-9.17657291968687,10.0753841693244,9.55093898960073,-4.17346084777543,44.6874030720115,29.1430941788587
"23","Periodic Fadeout (SCT)","Chaotic Non-interactive",-0.947091077405115,0.170903653065577,17.8907935066409,-16.596662504257,-11.0050189741706,19.0965846492839,182.456683625752,-161.351661795646,-107.693331900263,52.0286192943097
"23","Periodic Fixed","Chaotic Non-interactive",9.80902777777778,9.11458333333333,-1.46477159125483,36.8235754335637,15.4032160560996,-19.405150525934,-10882.251413829,-13639.4773802611,-169.897840621836,269.011829140504
"24","Chaotic","Periodic Fixed",11.6548042704626,19.5729537366548,10.9765329295988,19.7426192278577,-2.73101384212495,-3.19865319865319,18.9817568856081,-33.7584234492117,263.36891332144,158.88709214539
"24","Chaotic Visual","Periodic Fixed",-0.0723738626964526,12.3138957816377,4.12280701754386,6.78947368421052,-3.75697555607955,5.05776939401084,-7.87922210831357,5.42591237360004,18.0076872649272,-19.481742556582
"24","Periodic Fadeout (SCT)","Periodic Fixed",3.77629406274679,3.10144303252207,-27.4991106367841,-9.6478121664888,34.2729970326409,7.49258160237389,-141.412873169891,41.4370153660327,-148.21244544847,-44.4353949227038
"24","Periodic Fixed","Periodic Fixed",3.16556593031201,-10.9314506946026,11.3163261379815,5.89864942860441,-10.5968639352554,-19.2336874051593,-15.6411978561541,-167.900950279303,3359.14630491139,3340.86354138522
"25","Chaotic","Chaotic Interactive",13.1249056033832,10.1495242410512,-31.9901385700927,-18.6814588115277,62.0498614958449,32.7562326869806,10.6831014906804,8.74119769366358,-119.165563441188,-94.5135066795691
"25","Chaotic Visual","Chaotic Interactive",-7.17042453788341,8.6837294332724,-0.348368170150341,-3.46534653465347,-6.83940501236481,12.5788949175064,33.5681444958752,19.8596669958868,-61.6686136749843,-22.209564963336
"25","Periodic Fadeout (SCT)","Chaotic Interactive",12.0757695343331,13.5753749013417,-22.6502370395962,-28.427477399666,40.0881057268722,56.7400881057269,-100.950028821997,-9.71594944189456,1381.39501555748,220.702823001543
"25","Periodic Fixed","Chaotic Interactive",3.39594004932651,10.5008537279454,-36.1184190631709,-26.7894402612719,59.9711578079934,60.5067985166873,-324.083877473674,-174.876219030367,-167.671802173132,-69.7968979221537
"26","Chaotic","Chaotic Interactive",-8.48484848484848,26.6818181818182,-13.1438190654612,-51.7390241915777,7.27788279773157,124.952741020794,41.3522174244071,189.654092037581,1960.83444747392,2525.7663639899
"26","Chaotic Visual","Chaotic Interactive",-2.67899478425794,15.4694167852063,-1.71839382780993,7.9431877958969,-0.696234006962339,7.26976807269769,1.29006637780836,27.9272346112267,89.9234171794247,377.053446241757
"26","Periodic Fadeout (SCT)","Chaotic Interactive",1.95981146117588,-6.99578268419747,-23.7805456027602,-18.6373201387704,36.1227336122733,11.2133891213389,-64.9028848240622,130.118775321357,835.412464691936,-391.592257823566
"26","Periodic Fixed","Chaotic Interactive",12.5043538836642,43.120863810519,-32.9007096732945,-51.9020522984464,72.7783283779319,176.808721506442,-120.412332057885,-147.827085129346,-739.649917990277,-1227.83357341579
"27","Chaotic","Periodic Fixed",6.91345503718727,-29.5638945233266,4.7462457524937,-23.8079579085827,4.87179487179487,-6.92307692307692,21.4655234690329,-127.269835584989,-213.506651273661,-81.3650065116597
