"pp","task_label","training_phase_label","score","c","pitch_error","te12rescaled","te21rescaled","Training"
"13","Periodic Fadeout (SCT)","PreTest",0.2808,0.9016,3.2616,-0.0112087545707902,-0.0147061001671126,"Periodic Fixed"
"13","Periodic Fadeout (SCT)","PostTest",0.446333333333333,0.927,2.08033333333333,-0.631470920851126,0.272129477910165,"Periodic Fixed"
"13","Periodic Fadeout (SCT)","Retention",0.4486,0.9068,2.0882,-0.669521012874384,-0.573423346298393,"Periodic Fixed"
"13","Periodic Fixed","PreTest",0.25,0.7212,2.9144,-0.131068459287202,-0.534681947454358,"Periodic Fixed"
"13","Periodic Fixed","PostTest",0.438666666666667,0.879666666666667,2.048,0.244426205511526,-1.01511304871282,"Periodic Fixed"
"13","Periodic Fixed","Retention",0.4252,0.8856,2.0898,-0.18241785746269,0.0948251272476286,"Periodic Fixed"
"14","Chaotic","PreTest",0.311,0.4986,1.616,2.0319416836265,0.790469696968899,"Chaotic Interactive"
"14","Chaotic","PostTest",0.436666666666667,0.566333333333333,1.316,2.87604103651821,0.586810423661231,"Chaotic Interactive"
"14","Chaotic","Retention",0.3426,0.5018,1.482,5.00327626786912,1.09318621535863,"Chaotic Interactive"
"14","Chaotic Visual","PreTest",1.352,0.5438,0.4018,2.95275016992546,-0.110650507391666,"Chaotic Interactive"
"14","Chaotic Visual","PostTest",1.62833333333333,0.608,0.373333333333333,2.46093450036501,2.38051253239467,"Chaotic Interactive"
"14","Chaotic Visual","Retention",1.4702,0.5782,0.3936,3.56710884543939,1.12934959235495,"Chaotic Interactive"
"14","Periodic Fadeout (SCT)","PreTest",0.1012,0.6092,5.9408,-0.551789540384056,-0.499780499420746,"Chaotic Interactive"
"14","Periodic Fadeout (SCT)","PostTest",0.270333333333333,0.846,3.195,2.04363122190619,0.073273300940165,"Chaotic Interactive"
"14","Periodic Fadeout (SCT)","Retention",0.3922,0.8636,2.2224,0.0451353567937344,0.254957576183943,"Chaotic Interactive"
"14","Periodic Fixed","PreTest",0.2716,0.6084,2.323,-0.308014075645356,-0.0202842665592096,"Chaotic Interactive"
"14","Periodic Fixed","PostTest",0.452666666666667,0.741,1.65766666666667,-0.268780955376316,0.13898319275547,"Chaotic Interactive"
"14","Periodic Fixed","Retention",0.2442,0.5988,2.4572,-0.204169846320488,0.369959237162055,"Chaotic Interactive"
"15","Chaotic","PreTest",0.3226,0.4086,1.2726,3.42283687663165,0.32015504751489,"Periodic Fixed"
"15","Chaotic","PostTest",0.354666666666667,0.411333333333333,1.16033333333333,4.38669376988582,0.33693960188683,"Periodic Fixed"
"15","Chaotic","Retention",0.3668,0.4438,1.2162,3.093225582326,-0.140446420538107,"Periodic Fixed"
"15","Chaotic Visual","PreTest",1.4464,0.5604,0.3894,2.69455485670864,1.17209457352851,"Periodic Fixed"
"15","Chaotic Visual","PostTest",1.53366666666667,0.589333333333333,0.384,4.04840896124494,1.38331231384848,"Periodic Fixed"
"15","Chaotic Visual","Retention",1.5958,0.6044,0.3796,3.73337664897241,1.55111269033314,"Periodic Fixed"
"15","Periodic Fadeout (SCT)","PreTest",0.226,0.6846,3.2056,-0.322950507463047,-0.032114400177891,"Periodic Fixed"
"15","Periodic Fadeout (SCT)","PostTest",0.428333333333333,0.883,2.08,0.793686489039014,-0.177769303196487,"Periodic Fixed"
"15","Periodic Fadeout (SCT)","Retention",0.4674,0.9226,1.977,0.108360226971619,0.28718962306201,"Periodic Fixed"
