"file_name","pp","day","date","task_code","training_phase","training_phase_label","visual","score","c","tau","pitch_error","te12rescaled","te21rescaled","training_condition","Training","task_label","trial","pre_score","pre_c","pre_tau","pre_pitch_error","pre_testimtouser","pre_teusertostim","score_delta","c_delta","tau_delta","pitch_error_delta","testimtouser_delta","teusertostim_delta"
"trial_log-200129-145725_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-145725","11",1,"PostTest",0,0.523,0.784,0.475,1.5,1.15188860268309,2.10552065285263,"30","Chaotic Non-interactive","Periodic Fixed",2,0.372,0.7986,-0.0506,2.1488,-0.24297249177761,0.0772854781300776,0.405913978494624,-1.8281993488605,-1038.73517786561,-30.1935964259121,-574.08189884203,2624.34188646523
"trial_log-200129-145829_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-145829","11",1,"PostTest",0,0.396,0.91,-0.038,2.298,2.108653354005,2.11023154182618,"30","Chaotic Non-interactive","Periodic Fixed",3,0.372,0.7986,-0.0506,2.1488,-0.24297249177761,0.0772854781300776,0.0645161290322581,13.9494114700726,-24.901185770751,6.94341027550261,-967.856825510529,2630.43732520422
"trial_log-200130-132045_task011_aud1_vis0_eps000_pp5_d2_test_SCT","5",2,"200130-132045","11",2,"Retention",0,0.542,0.778,-0.14,1.434,-0.325256130918796,0.0198810625748444,"30","Chaotic Non-interactive","Periodic Fixed",1,0.372,0.7986,-0.0506,2.1488,-0.24297249177761,0.0772854781300776,0.456989247311828,-2.57951414976208,176.679841897233,-33.265078183172,33.865413545044,-74.2758108562349
"trial_log-200130-132148_task011_aud1_vis0_eps000_pp5_d2_test_SCT","5",2,"200130-132148","11",2,"Retention",0,0.355,0.597,0.232,1.681,-1.41820960029295,1.50781029889809,"30","Chaotic Non-interactive","Periodic Fixed",2,0.372,0.7986,-0.0506,2.1488,-0.24297249177761,0.0772854781300776,-0.0456989247311828,-25.244177310293,-558.498023715415,-21.7702903946389,483.69142527913,1850.96198584723
"trial_log-200130-132252_task011_aud1_vis0_eps000_pp5_d2_test_SCT","5",2,"200130-132252","11",2,"Retention",0,0.326,0.619,-0.263,1.899,-0.309261810482126,1.9941473696071,"30","Chaotic Non-interactive","Periodic Fixed",3,0.372,0.7986,-0.0506,2.1488,-0.24297249177761,0.0772854781300776,-0.123655913978495,-22.4893563736539,419.762845849802,-11.6250930752048,27.2826434875556,2480.23553435329
"trial_log-200130-132357_task011_aud1_vis0_eps000_pp5_d2_test_SCT","5",2,"200130-132357","11",2,"Retention",0,0.488,0.904,0.183,1.851,-0.57412148609554,-0.173639122383316,"30","Chaotic Non-interactive","Periodic Fixed",4,0.372,0.7986,-0.0506,2.1488,-0.24297249177761,0.0772854781300776,0.311827956989247,13.1980966691711,-461.660079051383,-13.8588979895756,136.290734763928,-324.672379060744
"trial_log-200130-132502_task011_aud1_vis0_eps000_pp5_d2_test_SCT","5",2,"200130-132502","11",2,"Retention",0,0.434,0.784,0.109,1.807,-0.844093789503467,-1.5738736905341,"30","Chaotic Non-interactive","Periodic Fixed",5,0.372,0.7986,-0.0506,2.1488,-0.24297249177761,0.0772854781300776,0.166666666666667,-1.8281993488605,-315.415019762846,-15.9065524944155,247.403026296514,-2136.44168168973
"trial_log-200122-095020_task011_aud1_vis0_eps000_pp6_d1_test_SCT","6",1,"200122-095020","11",-1,"PreTest",0,0.399,0.87,0.072,2.181,0.232193081213809,0.334151317263159,"25","Chaotic Interactive","Periodic Fixed",1,0.4058,0.8674,0.0608,2.19,-0.00472957445117072,0.207648816565385,-0.0167570231641202,0.299746368457452,18.421052631579,-0.410958904109584,-5009.38632240653,60.9213684865574
"trial_log-200122-095124_task011_aud1_vis0_eps000_pp6_d1_test_SCT","6",1,"200122-095124","11",-1,"PreTest",0,0.446,0.885,0.172,1.984,-0.0447962741875356,-0.00638973812173356,"25","Chaotic Interactive","Periodic Fixed",2,0.4058,0.8674,0.0608,2.19,-0.00472957445117072,0.207648816565385,0.0990635781172992,2.02905234032741,182.894736842105,-9.40639269406392,847.15232099681,-103.077184944958
"trial_log-200122-095229_task011_aud1_vis0_eps000_pp6_d1_test_SCT","6",1,"200122-095229","11",-1,"PreTest",0,0.332,0.774,0.076,2.331,-0.266157403935821,0.705561380303235,"25","Chaotic Interactive","Periodic Fixed",3,0.4058,0.8674,0.0608,2.19,-0.00472957445117072,0.207648816565385,-0.181862986692952,-10.7678118515103,25,6.43835616438356,5527.51272199423,239.78589041516
"trial_log-200122-095333_task011_aud1_vis0_eps000_pp6_d1_test_SCT","6",1,"200122-095333","11",-1,"PreTest",0,0.334,0.906,-0.024,2.712,-0.238790836373226,-0.361725607887441,"25","Chaotic Interactive","Periodic Fixed",4,0.4058,0.8674,0.0608,2.19,-0.00472957445117072,0.207648816565385,-0.176934450468211,4.45008070094535,-139.473684210526,23.8356164383562,4948.88629703498,-274.200659493544
"trial_log-200122-095437_task011_aud1_vis0_eps000_pp6_d1_test_SCT","6",1,"200122-095437","11",-1,"PreTest",0,0.518,0.902,0.008,1.742,0.29390356102692,0.366646731269706,"25","Chaotic Interactive","Periodic Fixed",5,0.4058,0.8674,0.0608,2.19,-0.00472957445117072,0.207648816565385,0.276490882207984,3.98893244178003,-86.8421052631579,-20.4566210045662,-6314.16501761949,76.5705855367854
"trial_log-200122-111815_task011_aud1_vis0_eps000_pp6_d1_test_SCT","6",1,"200122-111815","11",1,"PostTest",0,0.48,0.814,0.076,1.694,-1.05110576869655,1.54211712853701,"25","Chaotic Interactive","Periodic Fixed",1,0.4058,0.8674,0.0608,2.19,-0.00472957445117072,0.207648816565385,0.1828486939379,-6.15632925985706,25,-22.648401826484,22124.1087342724,642.656353185342
"trial_log-200122-111921_task011_aud1_vis0_eps000_pp6_d1_test_SCT","6",1,"200122-111921","11",1,"PostTest",0,0.949,0.836,0.031,0.881,-0.342918180144689,0.684268794859809,"25","Chaotic Interactive","Periodic Fixed",2,0.4058,0.8674,0.0608,2.19,-0.00472957445117072,0.207648816565385,1.33859043863972,-3.62001383444779,-49.0131578947368,-59.7716894977169,7150.50813101812,229.531757598216
"trial_log-200122-112025_task011_aud1_vis0_eps000_pp6_d1_test_SCT","6",1,"200122-112025","11",1,"PostTest",0,0.405,0.729,-0.04,1.797,-0.511770225127873,0.0898910733339948,"25","Chaotic Interactive","Periodic Fixed",3,0.4058,0.8674,0.0608,2.19,-0.00472957445117072,0.207648816565385,-0.00197141448989642,-15.9557297671201,-165.789473684211,-17.9452054794521,10720.6400049627,-56.7100478486524
"trial_log-200123-115544_task011_aud1_vis0_eps000_pp6_d2_test_SCT","6",2,"200123-115544","11",2,"Retention",0,0.298,0.884,0.183,2.962,0.843839895347924,0.419063238721316,"25","Chaotic Interactive","Periodic Fixed",1,0.4058,0.8674,0.0608,2.19,-0.00472957445117072,0.207648816565385,-0.265648102513553,1.91376527553608,200.986842105263,35.2511415525114,-17941.7721099421,101.813449097775
"trial_log-200123-115648_task011_aud1_vis0_eps000_pp6_d2_test_SCT","6",2,"200123-115648","11",2,"Retention",0,0.326,0.786,0.188,2.411,-1.40009111704064,1.19228552755026,"25","Chaotic Interactive","Periodic Fixed",2,0.4058,0.8674,0.0608,2.19,-0.00472957445117072,0.207648816565385,-0.196648595367176,-9.3843670740143,209.21052631579,10.0913242009132,29502.8983473148,474.183637196328
"trial_log-200123-115752_task011_aud1_vis0_eps000_pp6_d2_test_SCT","6",2,"200123-115752","11",2,"Retention",0,0.357,0.736,-0.259,2.061,-0.465155568955894,-0.360984738266162,"25","Chaotic Interactive","Periodic Fixed",3,0.4058,0.8674,0.0608,2.19,-0.00472957445117072,0.207648816565385,-0.120256283883687,-15.1487203135808,-525.986842105263,-5.89041095890411,9735.04063120844,-273.843869778325
