FileName,PP,Day,Date,TaskCode,TrainingPhase,TrainingPhaseLabel,Visual,Score,C,tau,PitchError,TE12rescaled,TE21rescaled
trial_log-200127-130832_task011_aud1_vis0_eps000_pp11_d1_test_SCT,11,1,200127-130832,11,1,PostTest_,0,0.535,0.791,0.09,1.478,1.12203874281434,0.655476199385756
trial_log-200127-130936_task011_aud1_vis0_eps000_pp11_d1_test_SCT,11,1,200127-130936,11,1,PostTest_,0,0.395,0.797,0.161,2.019,-0.46303341682334,0.0303740756723625
trial_log-200128-130627_task011_aud1_vis0_eps000_pp11_d2_test_SCT,11,2,200128-130627,11,2,Retention,0,0.37,0.807,-0.039,2.184,-0.757126603999675,-0.574659672239767
trial_log-200128-130731_task011_aud1_vis0_eps000_pp11_d2_test_SCT,11,2,200128-130731,11,2,Retention,0,0.475,0.821,-0.118,1.729,0.770133943249145,0.86026879156779
trial_log-200128-130841_task011_aud1_vis0_eps000_pp11_d2_test_SCT,11,2,200128-130841,11,2,Retention,0,0.439,0.85,-0.154,1.935,-0.331333254892348,0.653380937034833
trial_log-200128-130945_task011_aud1_vis0_eps000_pp11_d2_test_SCT,11,2,200128-130945,11,2,Retention,0,0.513,0.854,0.081,1.665,0.322329076303471,-1.09160764689195
trial_log-200128-131049_task011_aud1_vis0_eps000_pp11_d2_test_SCT,11,2,200128-131049,11,2,Retention,0,0.462,0.882,-0.134,1.91,1.26320942299637,0.558070160992281
trial_log-200213-111533_task011_aud1_vis0_eps000_pp12_d1_test_SCT,12,1,200213-111533,11,-1,PreTest__,0,0.07,0.227,-0.15,3.24,-1.07321917361498,1.28317451022321
trial_log-200213-111643_task011_aud1_vis0_eps000_pp12_d1_test_SCT,12,1,200213-111643,11,-1,PreTest__,0,0.086,0.237,-0.079,2.757,-0.867138062755263,-0.725533820298845
trial_log-200213-111805_task011_aud1_vis0_eps000_pp12_d1_test_SCT,12,1,200213-111805,11,-1,PreTest__,0,0.059,0.192,-0.095,3.245,-0.391105511171034,-0.0417774971640171
trial_log-200213-111937_task011_aud1_vis0_eps000_pp12_d1_test_SCT,12,1,200213-111937,11,-1,PreTest__,0,0.151,0.5,-0.507,3.306,-0.53364358923966,0.465345449109629
trial_log-200213-112040_task011_aud1_vis0_eps000_pp12_d1_test_SCT,12,1,200213-112040,11,-1,PreTest__,0,0.241,0.642,0.068,2.658,-1.72632535363975,-0.624418338104184
trial_log-200213-123920_task011_aud1_vis0_eps000_pp12_d1_test_SCT,12,1,200213-123920,11,1,PostTest_,0,0.31,0.928,0.004,2.997,0.721227302413765,0.241987260868891
trial_log-200213-124023_task011_aud1_vis0_eps000_pp12_d1_test_SCT,12,1,200213-124023,11,1,PostTest_,0,0.231,0.831,-0.06,3.603,0.709636894486381,1.11709724337187
trial_log-200213-124127_task011_aud1_vis0_eps000_pp12_d1_test_SCT,12,1,200213-124127,11,1,PostTest_,0,0.247,0.829,-0.186,3.362,1.28688673326642,0.0191133099421947
trial_log-200214-120049_task011_aud1_vis0_eps000_pp12_d2_test_SCT,12,2,200214-120049,11,2,Retention,0,0.402,0.808,-0.1,2.012,0.34040601149809,0.660936352440214
trial_log-200214-120154_task011_aud1_vis0_eps000_pp12_d2_test_SCT,12,2,200214-120154,11,2,Retention,0,0.344,0.747,0.013,2.173,-1.18825394666055,1.5266512222962
trial_log-200214-120301_task011_aud1_vis0_eps000_pp12_d2_test_SCT,12,2,200214-120301,11,2,Retention,0,0.358,0.78,-0.268,2.177,-0.920424621305107,-0.111882815149983
trial_log-200214-120407_task011_aud1_vis0_eps000_pp12_d2_test_SCT,12,2,200214-120407,11,2,Retention,0,0.393,0.73,-0.172,1.861,-0.173900343113187,1.72404078622471
trial_log-200214-120513_task011_aud1_vis0_eps000_pp12_d2_test_SCT,12,2,200214-120513,11,2,Retention,0,0.359,0.87,0.207,2.423,-0.0768583294412785,0.770726586269324
trial_log-200128-141623_task011_aud1_vis0_eps000_pp13_d1_test_SCT,13,1,200128-141623,11,-1,PreTest__,0,0.218,0.573,-0.144,2.632,-1.45133527488233,0.964041082604884
trial_log-200128-141803_task011_aud1_vis0_eps000_pp13_d1_test_SCT,13,1,200128-141803,11,-1,PreTest__,0,0.182,0.583,0.155,3.204,-0.690422294034491,-0.503032445332645
trial_log-200128-141907_task011_aud1_vis0_eps000_pp13_d1_test_SCT,13,1,200128-141907,11,-1,PreTest__,0,0.271,0.663,0.095,2.446,-0.549207902062157,-1.20848567556604
trial_log-200128-142011_task011_aud1_vis0_eps000_pp13_d1_test_SCT,13,1,200128-142011,11,-1,PreTest__,0,0.334,0.93,-0.283,2.786,1.08630937785292,-1.29002262855114
trial_log-200128-142115_task011_aud1_vis0_eps000_pp13_d1_test_SCT,13,1,200128-142115,11,-1,PreTest__,0,0.245,0.857,0.004,3.504,0.949313796690046,-0.635910070426851
trial_log-200128-154437_task011_aud1_vis0_eps000_pp13_d1_test_SCT,13,1,200128-154437,11,1,PostTest_,0,0.547,0.939,0.044,1.716,1.34651383443026,-1.75986958060136
trial_log-200128-154544_task011_aud1_vis0_eps000_pp13_d1_test_SCT,13,1,200128-154544,11,1,PostTest_,0,0.374,0.88,0.005,2.349,0.515367147076099,-0.802076015110234
trial_log-200128-154648_task011_aud1_vis0_eps000_pp13_d1_test_SCT,13,1,200128-154648,11,1,PostTest_,0,0.395,0.82,0.031,2.079,-1.12860236497178,-0.48339355042687
trial_log-200129-151853_task011_aud1_vis0_eps000_pp13_d2_test_SCT,13,2,200129-151853,11,2,Retention,0,0.396,0.875,0.108,2.21,-0.738270652506765,-1.25256016311583
trial_log-200129-151957_task011_aud1_vis0_eps000_pp13_d2_test_SCT,13,2,200129-151957,11,2,Retention,0,0.47,0.923,0.085,1.963,0.363344512808306,0.0802797290633398
trial_log-200129-152100_task011_aud1_vis0_eps000_pp13_d2_test_SCT,13,2,200129-152100,11,2,Retention,0,0.447,0.872,-0.09,1.949,0.0431300936617345,1.006891554208
trial_log-200129-152204_task011_aud1_vis0_eps000_pp13_d2_test_SCT,13,2,200129-152204,11,2,Retention,0,0.425,0.901,-0.035,2.117,0.0664906035973398,0.0783841322245464
trial_log-200129-152309_task011_aud1_vis0_eps000_pp13_d2_test_SCT,13,2,200129-152309,11,2,Retention,0,0.388,0.857,0.177,2.21,-0.646783844874067,0.561130383858087
trial_log-200129-092241_task011_aud1_vis0_eps000_pp14_d1_test_SCT,14,1,200129-092241,11,-1,PreTest__,0,0.278,0.649,-0.3,2.336,0.111907298977898,-0.603940637321608
trial_log-200129-092345_task011_aud1_vis0_eps000_pp14_d1_test_SCT,14,1,200129-092345,11,-1,PreTest__,0,0.212,0.465,0.068,2.194,-0.838345779038429,0.00690638189049897
