pp,trial,condition,period,LyapsTutor,LyaplTutor,LyapsTrainee,LyaplTrainee
8.0000,4.0000,30.0000,716.5340,1.9611,0.6325,1.1781,0.1613
8.0000,5.0000,30.0000,715.7731,1.9347,0.6276,1.2081,0.2395
8.0000,6.0000,30.0000,707.0880,2.0011,0.6236,1.2427,0.2210
8.0000,7.0000,30.0000,720.7245,1.9330,0.4951,1.2040,0.1751
8.0000,8.0000,30.0000,718.8377,1.8006,0.5790,1.2164,0.1675
8.0000,9.0000,30.0000,710.2250,2.1983,0.5978,1.1572,0.1823
8.0000,10.0000,30.0000,711.1219,1.9129,0.5180,0.9734,0.2368
8.0000,11.0000,30.0000,696.6464,2.1390,0.4862,1.1556,0.1631
8.0000,12.0000,30.0000,723.0906,1.9697,0.5575,1.0341,0.1752
8.0000,13.0000,30.0000,708.8422,2.1035,0.6266,1.0638,0.1604
8.0000,14.0000,30.0000,712.7549,2.1743,0.5744,1.1618,0.2188
8.0000,15.0000,30.0000,718.8820,1.9774,0.6142,1.3233,0.1369
8.0000,16.0000,30.0000,714.9249,2.0853,0.5311,1.2349,0.1757
8.0000,17.0000,30.0000,711.5512,2.0861,0.5908,1.1798,0.1712
8.0000,18.0000,30.0000,702.3783,1.9818,0.6236,1.3495,0.1843
8.0000,19.0000,30.0000,696.1337,2.0783,0.5531,1.2647,0.2691
8.0000,20.0000,30.0000,713.0014,2.0799,0.4283,1.0585,0.1432
8.0000,21.0000,30.0000,697.1628,2.2425,0.4892,1.3619,0.1467
8.0000,22.0000,30.0000,713.0357,2.0511,0.4871,1.2356,0.2020
8.0000,23.0000,30.0000,696.5072,2.0995,0.5962,1.4386,0.2285
8.0000,24.0000,30.0000,690.9535,2.1938,0.6001,1.3751,0.1870
8.0000,25.0000,30.0000,730.0348,1.9467,0.5065,1.0412,0.1613
8.0000,26.0000,30.0000,707.4764,2.2801,0.5828,1.4966,0.0770
8.0000,27.0000,30.0000,724.0871,1.8556,0.4923,1.3274,0.1638
8.0000,28.0000,30.0000,705.1213,1.9307,0.6531,1.1799,0.1518
8.0000,29.0000,30.0000,710.2774,1.8170,0.5358,1.1574,0.1000
8.0000,30.0000,30.0000,710.8179,2.2234,0.5759,1.0579,0.1890
8.0000,31.0000,30.0000,711.2541,1.9163,0.6423,1.0786,0.1701
8.0000,32.0000,30.0000,688.9113,2.1083,0.6044,1.2794,0.2862
8.0000,33.0000,30.0000,714.3217,2.2217,0.5062,1.3611,0.2262
8.0000,34.0000,30.0000,702.2248,1.9880,0.6635,1.3903,0.1634
8.0000,35.0000,30.0000,708.1440,1.9368,0.5890,1.1792,0.2189
8.0000,36.0000,30.0000,709.7924,2.2441,0.5494,1.1833,0.1884
8.0000,37.0000,30.0000,705.1679,1.9796,0.6019,1.2803,0.1977
8.0000,38.0000,30.0000,706.3396,2.0635,0.5496,1.3160,0.0848
8.0000,39.0000,30.0000,704.3693,2.3018,0.5191,1.2416,0.1435
8.0000,40.0000,30.0000,711.1593,1.9957,0.5125,1.2262,0.2248
9.0000,1.0000,30.0000,721.9436,2.0510,0.7715,1.1452,0.1325
9.0000,2.0000,30.0000,721.2316,2.3540,0.4718,1.2248,0.1454
9.0000,3.0000,30.0000,736.8184,2.3019,0.4620,1.0277,0.1300
9.0000,4.0000,30.0000,716.7727,2.1296,0.5286,1.1635,0.0980
9.0000,5.0000,30.0000,714.3530,2.1984,0.5359,1.3383,0.1483
9.0000,6.0000,30.0000,712.7622,2.1433,0.6325,1.1418,0.1014
9.0000,7.0000,30.0000,703.0179,2.3298,0.5839,1.2921,0.1433
9.0000,8.0000,30.0000,719.0182,2.4328,0.5730,0.8941,0.0675
9.0000,9.0000,30.0000,705.3398,2.0761,0.4614,0.9352,0.1453
9.0000,10.0000,30.0000,713.4233,2.1956,0.3890,1.0481,0.0750
9.0000,11.0000,30.0000,702.4218,2.0395,0.4761,1.2519,0.0868
9.0000,12.0000,30.0000,717.6152,2.3311,0.5356,1.0190,0.1299
9.0000,13.0000,30.0000,711.2162,2.0409,0.5094,1.2322,0.1248
9.0000,14.0000,30.0000,701.2766,2.1350,0.6563,1.1472,0.1199
9.0000,15.0000,30.0000,727.0014,2.1673,0.6156,1.1065,0.1480
9.0000,16.0000,30.0000,714.7120,2.1038,0.4195,1.2301,0.1612
9.0000,17.0000,30.0000,733.5765,2.1443,0.5560,1.3313,0.1194
9.0000,18.0000,30.0000,711.6888,2.2175,0.5500,1.2317,0.1679
9.0000,19.0000,30.0000,722.5616,2.2735,0.5237,1.2967,0.1674
9.0000,20.0000,30.0000,708.6720,2.0216,0.5862,1.2289,0.0670
9.0000,21.0000,30.0000,717.2630,1.8920,0.6615,1.0763,0.1212
9.0000,22.0000,30.0000,723.4265,2.0559,0.5601,0.9111,0.1264
9.0000,23.0000,30.0000,720.3707,2.1090,0.5790,1.0126,0.1446
9.0000,24.0000,30.0000,711.2070,1.8571,0.4257,1.1392,0.2533
9.0000,25.0000,30.0000,731.9485,1.9218,0.6467,1.1330,0.1398
9.0000,26.0000,30.0000,711.0597,1.7390,0.5773,1.1668,0.1926
9.0000,27.0000,30.0000,719.5392,1.9872,0.4598,1.0612,0.1376
9.0000,28.0000,30.0000,724.9577,2.2747,0.5575,0.9357,0.1868
9.0000,29.0000,30.0000,720.0132,2.0768,0.5089,1.2390,0.1270
9.0000,30.0000,30.0000,710.9788,2.1401,0.5696,1.1010,0.1930
9.0000,31.0000,30.0000,731.0124,1.9896,0.4945,1.2991,0.1330
9.0000,32.0000,30.0000,716.9540,2.0514,0.5892,1.1820,0.1211
9.0000,33.0000,30.0000,713.9704,1.8226,0.5370,1.1037,0.1539
9.0000,34.0000,30.0000,704.6068,2.2009,0.5389,1.2016,0.1345
9.0000,35.0000,30.0000,722.4490,1.8702,0.4307,1.1310,0.0921
9.0000,36.0000,30.0000,690.7889,1.9896,0.6094,1.2665,0.1694
9.0000,37.0000,30.0000,710.5810,2.1698,0.4929,1.0454,0.1520
9.0000,38.0000,30.0000,701.9803,2.1098,0.4976,1.0262,0.1423
9.0000,39.0000,30.0000,706.6427,2.1188,0.5354,1.2461,0.1689
9.0000,40.0000,30.0000,694.8180,2.1984,0.5390,1.1087,0.1195
10.0000,1.0000,25.0000,963.2625,1.6370,0.2406,0.6704,0.1720
10.0000,2.0000,25.0000,993.7677,1.6755,0.2875,0.7702,0.1433
10.0000,3.0000,25.0000,949.9776,1.8762,0.4447,1.0203,0.1335
10.0000,4.0000,25.0000,989.4892,1.8751,0.3917,0.9023,0.0878
10.0000,5.0000,25.0000,977.3326,1.8269,0.4924,0.9531,0.1238
10.0000,6.0000,25.0000,965.7079,1.9681,0.3337,0.8014,0.0516
10.0000,7.0000,25.0000,969.5311,1.9123,0.4289,0.7659,0.0563
10.0000,8.0000,25.0000,983.4854,1.8922,0.3832,0.7077,0.1077
10.0000,9.0000,25.0000,956.2922,2.0423,0.4569,0.9050,0.0631
10.0000,10.0000,25.0000,981.8289,1.8367,0.3430,0.6785,0.1115
10.0000,11.0000,25.0000,1005.0463,1.9806,0.3152,1.0229,0.1456
10.0000,12.0000,25.0000,934.9606,1.9314,0.5175,1.0381,0.1319
10.0000,13.0000,25.0000,980.9032,2.0408,0.3167,0.8598,0.0777
10.0000,14.0000,25.0000,998.4747,1.8683,0.3067,0.9622,0.1480
10.0000,15.0000,25.0000,1029.9321,1.9938,0.2915,0.9729,0.1092
10.0000,16.0000,25.0000,1001.3151,1.9305,0.3528,0.8770,0.1066
10.0000,17.0000,25.0000,972.9246,2.0525,0.3166,0.9390,0.1449
10.0000,18.0000,25.0000,1012.4050,1.9216,0.3760,0.8734,0.1223
10.0000,19.0000,25.0000,1007.1470,1.8557,0.3243,0.8817,0.1583
10.0000,20.0000,25.0000,1036.7794,1.5393,0.3283,0.6125,0.1900
10.0000,21.0000,25.0000,1010.2947,1.4865,0.2173,0.6372,0.0990
