"pp","Task Label","Training","c Delta% PostTest","c Delta% Retention","Pitch Error Delta% PostTest","Pitch Error Delta% Retention","Score Delta% PostTest","Score Delta% Retention","MLS Stimulus Delta% PostTest","MLS Stimulus Delta% Retention","MLL Stimulus Delta% PostTest","MLL Stimulus Delta% Retention","MLS User Delta% PostTest","MLS User Delta% Retention","MLL User Delta% PostTest","MLL User Delta% Retention","MLS Stimulus Training","MLL Stimulus Training","MLS User Training","MLL User Training"
"11","Chaotic","Periodic Fixed",-15.5844155844156,-11.3465481886534,15.32605466429,-18.4046345811052,-28.0031821797932,5.60859188544152,0.198733348725714,-1.19240009235427,0.531116655393208,-3.18669993235927,-5.10300685504317,4.97310828525812,46.3439558241658,-0.785638041092083,0.204158773708662,0.0369114042101443,0.395808584280258,0.0860698439539444
"11","Chaotic Visual","Periodic Fixed",28.0443867992506,36.7920449632512,6.98198198198198,7.52252252252252,19.4082310838446,27.8182515337424,-1.39571312887767,-0.697856564438836,-1.68746905543394,-0.843734527716972,11.1518550163372,16.3204476836102,11.0211668574624,-7.68180354850956,0.204158773708662,0.0369114042101443,0.395808584280258,0.0860698439539444
"11","Periodic Fadeout (SCT)","Periodic Fixed",29.4298106421242,40.84417645192,-24.1757105943153,-41.3085271317829,62.4839124839125,127.220077220077,-3.55751001075143,-1.19981063750699,8.26096628716835,6.78846561191483,-6.97987593112483,-3.44926920768226,-9.11767972570923,-6.10440495407186,0.204158773708662,0.0369114042101443,0.395808584280258,0.0860698439539444
"11","Periodic Fixed","Periodic Fixed",41.3600095272121,50.5537692032869,-19.5963541666667,-19.9813179347826,77.2464962901896,86.2324814509481,-6.16458775210979,-9.27954781781117,-39.3785916315829,2.59916118976367,8.30502636140423,1.01201644497101,14.4023029205462,-2.41582478657494,0.204158773708662,0.0369114042101443,0.395808584280258,0.0860698439539444
"12","Chaotic","Chaotic Non-interactive",-4.94011976047904,-4.04191616766466,-14.2981312472838,-21.8383311603651,9.59286112660345,19.4645844952593,1.01176314056226,1.82117365301207,2.78889379183293,5.02000882529927,-9.87451416385233,-23.283114262841,-53.231375005696,-71.7182088183426,1.50994241370735,0.737066767836839,0.754252042447658,0.151223935238152
"12","Chaotic Visual","Chaotic Non-interactive",-6.55940594059406,-17.3576732673267,2.62008733624454,-4.26977195536148,-8.72611464968153,-13.656050955414,-0.232618854812954,0.697856564438823,-0.281244842572335,0.843734527716956,-9.9054891258702,-13.2975729720377,97.9760920765921,-38.0258329832649,1.50994241370735,0.737066767836839,0.754252042447658,0.151223935238152
"12","Periodic Fadeout (SCT)","Chaotic Non-interactive",7.0311277960269,-1.50164242139841,-18.9019114292457,-0.652875009832453,33.6496638987742,-0.830367734282332,0.794619456751189,-15.6867311735354,30.9176096802767,38.0267298533582,-7.43918551407608,-16.6766178045336,19.2289674102994,1.16100205446075,1.50994241370735,0.737066767836839,0.754252042447658,0.151223935238152
"12","Periodic Fixed","Chaotic Non-interactive",139.896180941787,118.854282536151,9.18935507913544,-29.9881625674076,116.364634816035,205.766062602965,1.23656704775709,-17.7735738098048,35.2456277755849,-19.0278671312069,-10.3765341292041,-25.7640276730495,-10.9318481318069,-7.40549717256763,1.50994241370735,0.737066767836839,0.754252042447658,0.151223935238152
"13","Chaotic","Periodic Fixed",-10.1030242605517,-14.0578265204387,-0.977147360126102,-27.6312056737589,-12.4872057318321,17.1954964176049,-0.794933394902843,-0.59620004617713,-2.12446662157284,-1.59334996617964,3.30121421889909,4.20519392035411,-30.6561045452313,-68.5908850193765,0.19431442486423,0.0348867047918061,0.533732271337876,0.111431238203379
"13","Chaotic Visual","Periodic Fixed",-2.94272895223013,7.95724465558195,-8.92484342379958,-3.18371607515657,6.50184539157693,11.9975731836797,-0.232618854812954,0.697856564438823,-0.281244842572335,0.843734527716956,33.6535697749626,39.1661867667665,144.476375953771,163.733569871577,0.19431442486423,0.0348867047918061,0.533732271337876,0.111431238203379
"13","Periodic Fadeout (SCT)","Periodic Fixed",2.81721384205857,0.576752440106488,-36.2173984138664,-35.9762079960755,58.9506172839506,59.7578347578348,8.86368855697319,6.64698410034903,-11.2231486046409,3.75946028850291,1.43282250714112,-6.3900689188605,6.24608351634248,-9.1430074077043,0.19431442486423,0.0348867047918061,0.533732271337876,0.111431238203379
"13","Periodic Fixed","Periodic Fixed",21.9726381955999,22.7953410981697,-29.7282459511392,-28.2939884710404,75.4666666666667,70.08,-17.0399547135078,1.73216397933978,-16.5409377512248,9.49470065889739,-7.64920162473262,-3.02360925613605,-3.59387721025703,-14.9054357942369,0.19431442486423,0.0348867047918061,0.533732271337876,0.111431238203379
