FileName,PP,Day,Date,TaskCode,TrainingPhase,TrainingPhaseLabel,Visual,Score,C,tau,PitchError,MaxLyapStimShort,MaxLyapStimLong,MaxLyapUserShort,MaxLyapUserLong
trial_log-200130-131030_task020_aud1_vis0_eps000_pp5_d2_test_chaotic,5,2,200130-131030,20,2,Retention,0,0.341,0.523,0.064,1.534,1.85038544038966,0.414533954546875,0.499863320818619,0.00492894280791808
trial_log-200130-131133_task020_aud1_vis0_eps000_pp5_d2_test_chaotic,5,2,200130-131133,20,2,Retention,0,0.369,0.507,0.268,1.374,1.85038544038966,0.414533954546875,0.323745472613866,0.0474902525929029
trial_log-200130-131238_task020_aud1_vis0_eps000_pp5_d2_test_chaotic,5,2,200130-131238,20,2,Retention,0,0.322,0.438,0.143,1.361,1.85038544038966,0.414533954546875,0.467238427491959,0.0113556912668247
trial_log-200130-131342_task020_aud1_vis0_eps000_pp5_d2_test_chaotic,5,2,200130-131342,20,2,Retention,0,0.359,0.483,0.132,1.346,1.78812944192942,0.371110318404611,0.385281827715049,0.0423453011627067
trial_log-200122-093836_task020_aud1_vis0_eps000_pp6_d1_test_chaotic,6,1,200122-093836,20,-1,PreTest__,0,0.19,0.449,-0.112,2.361,1.85038544038966,0.414533954546875,0.535158014347891,0.0670884013162325
trial_log-200122-093943_task020_aud1_vis0_eps000_pp6_d1_test_chaotic,6,1,200122-093943,20,-1,PreTest__,0,0.291,0.533,-0.017,1.833,1.90654999392224,0.449216689717067,0.477167407123427,0.0744162813202081
trial_log-200122-094047_task020_aud1_vis0_eps000_pp6_d1_test_chaotic,6,1,200122-094047,20,-1,PreTest__,0,0.242,0.489,-0.113,2.025,1.90654999392224,0.449216689717067,0.621709559317277,0.0139544585230258
trial_log-200122-094152_task020_aud1_vis0_eps000_pp6_d1_test_chaotic,6,1,200122-094152,20,-1,PreTest__,0,0.21,0.449,-0.054,2.142,1.90654999392224,0.449216689717067,0.505387718589543,0.0296040845983514
trial_log-200122-094256_task020_aud1_vis0_eps000_pp6_d1_test_chaotic,6,1,200122-094256,20,-1,PreTest__,0,0.179,0.379,0.112,2.122,1.90654999392224,0.449216689717067,0.585084456803549,0.0442489774826091
trial_log-200122-111103_task020_aud1_vis0_eps000_pp6_d1_test_chaotic,6,1,200122-111103,20,1,PostTest_,0,0.363,0.464,-0.034,1.28,1.85038544038966,0.414533954546875,0.489059140436287,0.0194860733216759
trial_log-200122-111213_task020_aud1_vis0_eps000_pp6_d1_test_chaotic,6,1,200122-111213,20,1,PostTest_,0,0.379,0.514,-0.035,1.358,1.85038544038966,0.414533954546875,0.492044849256203,0.0682509129736461
trial_log-200122-111318_task020_aud1_vis0_eps000_pp6_d1_test_chaotic,6,1,200122-111318,20,1,PostTest_,0,0.366,0.468,-0.491,1.278,1.85038544038966,0.414533954546875,0.524411215962415,0.0576912326934693
trial_log-200123-114319_task020_aud1_vis0_eps000_pp6_d2_test_chaotic,6,2,200123-114319,20,2,Retention,0,0.285,0.478,0.578,1.679,1.85038544038966,0.414533954546875,0.55056708838842,0.0324076293946409
trial_log-200123-114450_task020_aud1_vis0_eps000_pp6_d2_test_chaotic,6,2,200123-114450,20,2,Retention,0,0.279,0.454,-0.351,1.627,1.90654999392224,0.449216689717067,0.638113037301654,0.0294212185536838
trial_log-200123-114555_task020_aud1_vis0_eps000_pp6_d2_test_chaotic,6,2,200123-114555,20,2,Retention,0,0.348,0.463,-0.182,1.331,1.85038544038966,0.414533954546875,0.375324838188452,0.0209649441635067
trial_log-200123-114700_task020_aud1_vis0_eps000_pp6_d2_test_chaotic,6,2,200123-114700,20,2,Retention,0,0.35,0.498,0.212,1.423,1.85038544038966,0.414533954546875,0.467623078586835,0.0589335398197645
trial_log-200123-114805_task020_aud1_vis0_eps000_pp6_d2_test_chaotic,6,2,200123-114805,20,2,Retention,0,0.446,0.555,-0.084,1.245,1.90654999392224,0.449216689717067,0.487896453403726,0.0529979173367446
trial_log-200122-115554_task020_aud1_vis0_eps000_pp7_d1_test_chaotic,7,1,200122-115554,20,-1,PreTest__,0,0.255,0.465,-0.073,1.827,1.90654999392224,0.449216689717067,0.540310942318302,0.071009308021924
trial_log-200122-115707_task020_aud1_vis0_eps000_pp7_d1_test_chaotic,7,1,200122-115707,20,-1,PreTest__,0,0.293,0.521,-0.289,1.775,1.90654999392224,0.449216689717067,0.30744529139654,0.0380891341095638
trial_log-200122-115816_task020_aud1_vis0_eps000_pp7_d1_test_chaotic,7,1,200122-115816,20,-1,PreTest__,0,0.277,0.47,0.043,1.7,1.85038544038966,0.414533954546875,0.283869292504576,0.0402361259319291
trial_log-200122-115923_task020_aud1_vis0_eps000_pp7_d1_test_chaotic,7,1,200122-115923,20,-1,PreTest__,0,0.27,0.505,0.122,1.874,1.85038544038966,0.414533954546875,0.268508787600842,0.0369885829897527
trial_log-200122-120030_task020_aud1_vis0_eps000_pp7_d1_test_chaotic,7,1,200122-120030,20,-1,PreTest__,0,0.231,0.451,0.166,1.95,1.85038544038966,0.414533954546875,0.273810320000227,0.0788594171423748
trial_log-200122-133215_task020_aud1_vis0_eps000_pp7_d1_test_chaotic,7,1,200122-133215,20,1,PostTest_,0,0.27,0.538,-0.186,1.995,1.85038544038966,0.414533954546875,0.42816930750534,0.0626703359236249
trial_log-200122-133323_task020_aud1_vis0_eps000_pp7_d1_test_chaotic,7,1,200122-133323,20,1,PostTest_,0,0.259,0.537,0.003,2.072,1.90654999392224,0.449216689717067,0.457114280882813,0.039563790845809
trial_log-200122-133430_task020_aud1_vis0_eps000_pp7_d1_test_chaotic,7,1,200122-133430,20,1,PostTest_,0,0.242,0.494,-0.056,2.043,1.85038544038966,0.414533954546875,0.427894478495744,0.0846650815575608
trial_log-200123-150527_task020_aud1_vis0_eps000_pp7_d2_test_chaotic,7,2,200123-150527,20,2,Retention,0,0.227,0.531,-0.474,2.336,1.90654999392224,0.449216689717067,0.429062146637126,0.0999233659541371
trial_log-200123-150635_task020_aud1_vis0_eps000_pp7_d2_test_chaotic,7,2,200123-150635,20,2,Retention,0,0.232,0.551,-0.304,2.375,1.90654999392224,0.449216689717067,0.362239452817686,0.106856394740047
trial_log-200123-150741_task020_aud1_vis0_eps000_pp7_d2_test_chaotic,7,2,200123-150741,20,2,Retention,0,0.225,0.52,-0.244,2.314,1.85038544038966,0.414533954546875,0.381773880976302,0.104420894053008
trial_log-200123-150851_task020_aud1_vis0_eps000_pp7_d2_test_chaotic,7,2,200123-150851,20,2,Retention,0,0.243,0.447,0.112,1.839,1.85038544038966,0.414533954546875,0.381664594334265,0.061356988885492
trial_log-200123-150958_task020_aud1_vis0_eps000_pp7_d2_test_chaotic,7,2,200123-150958,20,2,Retention,0,0.287,0.499,0.115,1.738,1.85038544038966,0.414533954546875,0.453626026839455,0.0481125135001674
