"pp","task_label","Training","score_PreTest","score_PostTest","score_Retention","c_PreTest","c_PostTest","c_Retention","pitch_error_PreTest","pitch_error_PostTest","pitch_error_Retention","max_lyap_stim_short_PreTest","max_lyap_stim_short_PostTest","max_lyap_stim_short_Retention","max_lyap_stim_long_PreTest","max_lyap_stim_long_PostTest","max_lyap_stim_long_Retention","max_lyap_user_short_PreTest","max_lyap_user_short_PostTest","max_lyap_user_short_Retention","max_lyap_user_long_PreTest","max_lyap_user_long_PostTest","max_lyap_user_long_Retention"
"20","Chaotic","Chaotic Non-interactive",0.2168,0.246666666666667,0.34,0.3652,0.366333333333333,0.4222,1.7032,1.50266666666667,1.2476,1.86161835109618,1.85038544038966,1.88408417250921,0.421470501580913,0.414533954546875,0.43534359564899,0.350763624177259,0.44461801628557,0.349262984267216,0.0146450348584251,0.0160960596202988,0.0287938983889439
"20","Chaotic Visual","Chaotic Non-interactive",1.6468,1.44533333333333,1.725,0.5834,0.516333333333333,0.5972,0.3554,0.357,0.3474,1.67191605916758,1.64858090722596,1.66024848319677,0.346707767893658,0.340857181597667,0.343782474745663,0.487969656699129,0.446164677949535,0.412678493520847,0.0230468161835548,0.0219427760357617,0.0274178530081082
"20","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.358,0.365333333333333,0.4014,0.8514,0.903666666666667,0.9078,2.5688,2.517,2.287,0.411170704867467,0.423226271297026,0.369250573449886,0.0632043684346261,0.0638097155937616,0.0650998505147638,0.400983643301435,0.450765590384769,0.326309889591941,0.150901740037131,0.170540825305795,0.150274575152024
"20","Periodic Fixed","Chaotic Non-interactive",0.3566,0.358,0.3392,0.8202,0.794666666666667,0.6492,2.3198,2.25566666666667,1.915,0.228305540979514,0.21724826510466,0.207411615855463,0.0401524661044976,0.033708724331989,0.034107806280727,0.268798805765197,0.292527480814662,0.344851064095276,0.114557133619675,0.115426903776841,0.130068599475828
"21","Chaotic","Periodic Fixed",0.2696,0.419,0.4034,0.4914,0.538,0.5724,1.8272,1.286,1.4718,1.86161835109618,1.86910695823385,1.86161835109618,0.421470501580913,0.426094866270272,0.421470501580913,0.404935012102095,0.477104523791491,0.478062803560552,0.0463935507884454,0.0775512201426275,0.043406886386657
"21","Chaotic Visual","Periodic Fixed",1.366,1.349,1.6384,0.6004,0.615333333333333,0.6052,0.4412,0.462,0.3706,1.67149003356521,1.66802686717731,1.64858090722596,0.34791942246594,0.34573267017766,0.340857181597667,0.515880158492935,0.597584807766147,0.587223765041771,0.0406517191388699,0.042703838689082,0.0625411476049369
"21","Periodic Fadeout (SCT)","Periodic Fixed",0.1802,0.190666666666667,0.3264,0.6748,0.719333333333333,0.8028,3.8516,3.82466666666667,2.563,0.371314686364318,0.343215573865168,0.381340270608765,0.0746344323726239,0.0527707927948976,0.0737210730562247,0.618175403801899,0.457700014972573,0.464295995950338,0.138362423100789,0.134413997339364,0.131781678342894
"21","Periodic Fixed","Periodic Fixed",0.2568,0.420333333333333,0.4638,0.5538,0.759333333333333,0.779,2.2116,1.833,1.7318,0.194610851433574,0.177669684940697,0.165323476415226,0.0333412169803108,0.0357823070903513,0.028624217304515,0.397274633033422,0.347644235416802,0.360371710909803,0.104079784636868,0.103768762109373,0.120462994360817
"22","Chaotic","Periodic Fixed",0.124,0.326333333333333,0.3024,0.362,0.483666666666667,0.4822,3.039,1.50133333333333,1.627,1.87285126180269,1.85038544038966,1.85038544038966,0.428407048614952,0.414533954546875,0.414533954546875,0.405924696993669,0.511477036252406,0.511655927410482,0.0231780136923345,0.0891507261723053,0.0459413232879271
"22","Chaotic Visual","Periodic Fixed",1.29,1.16933333333333,1.2288,0.567,0.465333333333333,0.5088,0.441,0.400666666666667,0.4166,1.67191605916758,1.66802686717731,1.67191605916758,0.346707767893658,0.34573267017766,0.346707767893658,0.567293543669749,0.492441438022728,0.620334968543815,0.0387048186623759,0.0606978631522664,0.0644389350341534
"22","Periodic Fadeout (SCT)","Periodic Fixed",0.2216,0.326333333333333,0.422,0.7286,0.860333333333333,0.8802,3.373,2.63766666666667,2.1592,0.360454836140899,0.336191765481884,0.357878016770425,0.0846801516369909,0.0625862508480296,0.0575746872349862,0.723634433285649,0.486949181469636,0.524789817909338,0.167807510044259,0.179051278384958,0.137056968470349
