"file_name","pp","day","date","task_code","training_phase","visual","trial_duration","samples_num","score","c","tau","pitch_error","training_condition","Training","task_label","trial","pre_score","pre_c","pre_tau","pre_pitch_error","score_delta","c_delta","tau_delta","pitch_error_delta"
"trial_log-200123-140810_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140810","25","Training",0,59.991,5583,0.62,0.648,0.029,1.045,"25","Chaotic Interactive","Chaotic Interactive Training",39,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140924_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140924","25","Training",0,59.993,5558,0.576,0.572,0.173,0.993,"25","Chaotic Interactive","Chaotic Interactive Training",40,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-141253_task011_aud1_vis0_eps000_pp1_d1_test_SCT.txt","1",1,"200123-141253","11","PostTest",0,59.999,5716,0.611,0.936,-0.051,1.533,"25","Chaotic Interactive","Periodic Fixed",1,0.5436,0.852,-0.0666,1.7218,0.123988226637233,0.0985915492957747,-0.234234234234234,-0.109652689046347
"trial_log-200123-141400_task011_aud1_vis0_eps000_pp1_d1_test_SCT.txt","1",1,"200123-141400","11","PostTest",0,59.997,5688,0.456,0.964,-0.165,2.114,"25","Chaotic Interactive","Periodic Fixed",2,0.5436,0.852,-0.0666,1.7218,-0.161147902869757,0.131455399061033,1.47747747747748,0.227784876292252
"trial_log-200123-141506_task011_aud1_vis0_eps000_pp1_d1_test_SCT.txt","1",1,"200123-141506","11","PostTest",0,59.99,5668,0.541,0.818,0.155,1.512,"25","Chaotic Interactive","Periodic Fixed",3,0.5436,0.852,-0.0666,1.7218,-0.00478292862398811,-0.039906103286385,-3.32732732732733,-0.121849227552561
"trial_log-200123-141634_task012_aud1_vis0_eps000_pp1_d1_test_periodic.txt","1",1,"200123-141634","12","PostTest",0,59.99,5934,0.571,0.953,0.043,1.67,"25","Chaotic Interactive","Periodic Fadeout (SCT)",1,0.6042,0.9592,-0.0436,1.5912,-0.0549486924859318,-0.00646371976647204,-1.98623853211009,0.0495223730517848
"trial_log-200123-141742_task012_aud1_vis0_eps000_pp1_d1_test_periodic.txt","1",1,"200123-141742","12","PostTest",0,59.996,5903,0.687,0.966,-0.098,1.406,"25","Chaotic Interactive","Periodic Fadeout (SCT)",2,0.6042,0.9592,-0.0436,1.5912,0.137040714995035,0.00708924103419519,1.24770642201835,-0.116390145801911
"trial_log-200123-141847_task012_aud1_vis0_eps000_pp1_d1_test_periodic.txt","1",1,"200123-141847","12","PostTest",0,59.993,5906,0.537,0.938,0.025,1.747,"25","Chaotic Interactive","Periodic Fadeout (SCT)",3,0.6042,0.9592,-0.0436,1.5912,-0.111221449851043,-0.0221017514595496,-1.57339449541284,0.0979135243841127
"trial_log-200123-142013_task020_aud1_vis0_eps000_pp1_d1_test_chaotic.txt","1",1,"200123-142013","20","PostTest",0,59.981,5496,0.652,0.598,-0.154,0.916,"25","Chaotic Interactive","Chaotic",1,0.4352,0.5144,0.1792,1.1908,0.498161764705882,0.162519440124417,-1.859375,-0.230769230769231
"trial_log-200123-142119_task020_aud1_vis0_eps000_pp1_d1_test_chaotic.txt","1",1,"200123-142119","20","PostTest",0,59.983,5604,0.71,0.646,0.236,0.91,"25","Chaotic Interactive","Chaotic",2,0.4352,0.5144,0.1792,1.1908,0.631433823529412,0.255832037325039,0.316964285714286,-0.235807860262009
