FileName,PP,Day,Date,TaskCode,TrainingPhase,Visual,TrialDuration,SamplesNum,Score,C,tau,PitchError
trial_log-200203-154351_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-154351,25,Training_,0,59.987,5358,0.456,0.495,-0.246,1.086
trial_log-200203-154504_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-154504,25,Training_,0,59.99,5385,0.567,0.595,-0.192,1.049
trial_log-200203-154616_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-154616,25,Training_,0,59.997,5412,0.395,0.484,0.185,1.224
trial_log-200203-154726_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-154726,25,Training_,0,59.992,5126,0.444,0.603,0.046,1.359
trial_log-200203-154943_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-154943,25,Training_,0,59.967,5077,0.482,0.631,-0.065,1.309
trial_log-200203-155052_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-155052,25,Training_,0,59.99,5024,0.389,0.558,0.072,1.434
trial_log-200203-155200_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-155200,25,Training_,0,59.987,5207,0.417,0.602,-0.12,1.443
trial_log-200203-155309_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-155309,25,Training_,0,59.992,5097,0.422,0.582,-0.223,1.38
trial_log-200203-155417_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-155417,25,Training_,0,59.999,5175,0.418,0.615,-0.078,1.473
trial_log-200203-155529_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-155529,25,Training_,0,59.996,5119,0.369,0.566,-0.246,1.532
trial_log-200203-155638_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-155638,25,Training_,0,59.978,5024,0.361,0.542,-0.01,1.502
trial_log-200203-155745_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-155745,25,Training_,0,59.999,5074,0.565,0.614,0.269,1.085
trial_log-200203-155856_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-155856,25,Training_,0,59.999,4943,0.52,0.626,-0.073,1.202
trial_log-200203-160017_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-160017,25,Training_,0,59.971,5042,0.39,0.528,-0.092,1.354
trial_log-200203-160301_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-160301,25,Training_,0,59.997,5089,0.449,0.615,-0.195,1.369
trial_log-200203-160409_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-160409,25,Training_,0,59.989,5068,0.456,0.549,0.04,1.203
trial_log-200203-160517_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-160517,25,Training_,0,59.962,4856,0.493,0.631,-0.083,1.28
trial_log-200203-160626_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-160626,25,Training_,0,59.992,4934,0.309,0.492,0.056,1.59
trial_log-200203-160744_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-160744,25,Training_,0,59.997,4784,0.357,0.549,-0.29,1.538
trial_log-200203-160852_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-160852,25,Training_,0,59.996,5041,0.461,0.626,0.069,1.357
trial_log-200203-161000_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-161000,25,Training_,0,59.992,5150,0.519,0.684,0.034,1.317
trial_log-200203-161111_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-161111,25,Training_,0,59.975,5004,0.522,0.693,0.005,1.328
trial_log-200203-161221_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-161221,25,Training_,0,59.993,5310,0.47,0.554,-0.011,1.178
trial_log-200203-161329_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-161329,25,Training_,0,59.975,5198,0.314,0.418,-0.069,1.33
trial_log-200203-161704_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-161704,25,Training_,0,59.979,4887,0.478,0.606,-0.047,1.267
trial_log-200203-161812_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-161812,25,Training_,0,59.969,4896,0.479,0.639,-0.127,1.335
trial_log-200203-161920_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-161920,25,Training_,0,59.989,4786,0.481,0.619,0.094,1.286
trial_log-200203-162032_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-162032,25,Training_,0,59.993,5111,0.588,0.684,-0.027,1.162
trial_log-200203-162140_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-162140,25,Training_,0,59.983,4989,0.397,0.535,-0.116,1.348
trial_log-200203-162251_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-162251,25,Training_,0,59.992,5149,0.471,0.582,-0.175,1.237
trial_log-200203-162400_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-162400,25,Training_,0,59.992,4867,0.477,0.633,-0.04,1.327
trial_log-200203-162507_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-162507,25,Training_,0,59.981,4924,0.548,0.625,-0.017,1.14
trial_log-200203-162616_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-162616,25,Training_,0,59.991,5040,0.555,0.639,-0.255,1.152
trial_log-200203-162725_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-162725,25,Training_,0,59.994,4957,0.436,0.507,0.029,1.163
trial_log-200203-162926_task020_aud0_vis1_eps000_pp4_d1_test_visual.txt,4,1,200203-162926,20,PostTest_,1,59.993,5391,1.858,0.675,-0.009,0.363
trial_log-200203-163031_task020_aud0_vis1_eps000_pp4_d1_test_visual.txt,4,1,200203-163031,20,PostTest_,1,59.99,5443,1.557,0.515,-0.023,0.331
trial_log-200203-163137_task020_aud0_vis1_eps000_pp4_d1_test_visual.txt,4,1,200203-163137,20,PostTest_,1,59.973,5411,1.796,0.546,-0.045,0.304
trial_log-200203-163310_task011_aud1_vis0_eps000_pp4_d1_test_SCT.txt,4,1,200203-163310,11,PostTest_,0,59.994,5702,0.462,0.916,-0.068,1.982
trial_log-200203-163415_task011_aud1_vis0_eps000_pp4_d1_test_SCT.txt,4,1,200203-163415,11,PostTest_,0,59.985,5665,0.504,0.927,0.222,1.839
trial_log-200203-163520_task011_aud1_vis0_eps000_pp4_d1_test_SCT.txt,4,1,200203-163520,11,PostTest_,0,59.994,5722,0.506,0.93,0.122,1.838
trial_log-200203-163644_task012_aud1_vis0_eps000_pp4_d1_test_periodic.txt,4,1,200203-163644,12,PostTest_,0,59.993,5870,0.429,0.946,0.083,2.205
trial_log-200203-163748_task012_aud1_vis0_eps000_pp4_d1_test_periodic.txt,4,1,200203-163748,12,PostTest_,0,59.991,5897,0.595,0.942,-0.229,1.583
trial_log-200203-163854_task012_aud1_vis0_eps000_pp4_d1_test_periodic.txt,4,1,200203-163854,12,PostTest_,0,59.991,5881,0.657,0.93,0.002,1.417
trial_log-200203-164013_task020_aud1_vis0_eps000_pp4_d1_test_chaotic.txt,4,1,200203-164013,20,PostTest_,0,59.998,5107,0.46,0.569,0.206,1.238
trial_log-200203-164118_task020_aud1_vis0_eps000_pp4_d1_test_chaotic.txt,4,1,200203-164118,20,PostTest_,0,59.993,5222,0.432,0.575,0.008,1.332
trial_log-200203-164224_task020_aud1_vis0_eps000_pp4_d1_test_chaotic.txt,4,1,200203-164224,20,PostTest_,0,59.982,4834,0.401,0.548,0.028,1.368
trial_log-200205-092555_task020_aud0_vis1_eps000_pp4_d2_test_visual.txt,4,2,200205-092555,20,Retention,1,59.995,5293,1.54,0.567,0.004,0.368
trial_log-200205-092702_task020_aud0_vis1_eps000_pp4_d2_test_visual.txt,4,2,200205-092702,20,Retention,1,59.993,5079,1.403,0.516,0.004,0.368
trial_log-200205-092809_task020_aud0_vis1_eps000_pp4_d2_test_visual.txt,4,2,200205-092809,20,Retention,1,59.995,5142,1.753,0.637,0.11,0.363
