raw data file,score,cmax,tau,rmse
trial_log-200123-100054_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.387,   0.518,  -0.043,   1.338
trial_log-200123-100200_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.209,   0.443,  -0.105,   2.115
trial_log-200123-100310_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.377,   0.643,  -0.114,   1.704
trial_log-200123-100416_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.450,   0.590,  -0.024,   1.311
trial_log-200123-100523_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.577,   0.674,  -0.067,   1.167
trial_log-200123-100629_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.481,   0.600,  -0.074,   1.247
trial_log-200123-100736_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.524,   0.702,  -0.103,   1.339
trial_log-200123-100940_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.387,   0.681,  -0.067,   1.761
trial_log-200123-101048_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.376,   0.643,  -0.112,   1.710
trial_log-200123-101154_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.378,   0.510,  -0.080,   1.351
trial_log-200123-101300_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.326,   0.455,  -0.119,   1.394
trial_log-200123-101407_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.380,   0.553,  -0.104,   1.454
trial_log-200123-101514_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.343,   0.473,  -0.053,   1.378
trial_log-200123-101621_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.413,   0.522,  -0.085,   1.263
trial_log-200123-101728_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.503,   0.631,  -0.019,   1.253
trial_log-200123-101836_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.458,   0.549,  -0.067,   1.199
trial_log-200123-101943_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.535,   0.604,  -0.061,   1.129
trial_log-200123-102249_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.565,   0.758,  -0.102,   1.343
trial_log-200123-102355_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.433,   0.625,  -0.133,   1.444
trial_log-200123-102502_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.406,   0.615,  -0.063,   1.514
trial_log-200123-102609_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.456,   0.616,  -0.114,   1.352
trial_log-200123-102717_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.334,   0.540,  -0.105,   1.617
trial_log-200123-102825_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.379,   0.580,  -0.046,   1.529
trial_log-200123-102933_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.364,   0.546,  -0.042,   1.501
trial_log-200123-103040_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.612,   0.704,  -0.045,   1.151
trial_log-200123-103147_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.297,   0.466,  -0.065,   1.567
trial_log-200123-103257_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.419,   0.617,  -0.071,   1.472
trial_log-200217-093102_task030_aud1_vis0_eps000_pp9_d1_.txt,   0.168,   0.332,   0.093,   1.977
trial_log-200217-093219_task030_aud1_vis0_eps000_pp9_d1_.txt,   0.243,   0.444,  -0.030,   1.830
