"pp","Task Label","Training","c Delta% PostTest","c Delta% Retention","Pitch Error Delta% PostTest","Pitch Error Delta% Retention","Score Delta% PostTest","Score Delta% Retention"
21,"Chaotic Visual","Periodic Fixed",2.48723073506552,0.799467021985348,4.71441523118768,-16.0018132366274,-1.24450951683747,19.9414348462665
21,"Periodic Fadeout (SCT)","Periodic Fixed",6.59948626753607,18.968583283936,-0.699276491155183,-33.4562259840067,5.80836108028118,81.1320754716981
21,"Periodic Fixed","Periodic Fixed",37.1132779583484,40.6644998194294,-17.1188279978296,-21.6947006691988,63.681204569055,80.607476635514
22,"Chaotic","Periodic Fixed",33.609576427256,33.2044198895028,-50.59778435889,-46.4626521882198,163.172043010753,143.870967741935
22,"Chaotic Visual","Periodic Fixed",-17.9306290417401,-10.2645502645502,-9.145880574452,-5.5328798185941,-9.35400516795866,-4.74418604651162
22,"Periodic Fadeout (SCT)","Periodic Fixed",18.0803367188215,20.8070271754049,-21.8005731791679,-35.9857693447969,47.2623345367028,90.4332129963899
22,"Periodic Fixed","Periodic Fixed",9.0367253922342,6.70523271101761,-39.6649630891539,-4.1868693487092,77.5248560962847,11.0675039246468
23,"Chaotic","Chaotic Non-interactive",3.62865845583366,2.62216924910605,-12.9072681704261,1.35059871901978,19.482496194825,1.14155251141553
23,"Chaotic Visual","Chaotic Non-interactive",-15.8314473542408,-7.33915292596185,-7.14391581443604,-14.0506891951979,-9.17657291968687,10.0753841693244
23,"Periodic Fadeout (SCT)","Chaotic Non-interactive",-0.947091077405115,0.170903653065577,17.8907935066409,-16.596662504257,-11.0050189741706,19.0965846492839
23,"Periodic Fixed","Chaotic Non-interactive",9.80902777777778,9.11458333333333,-1.46477159125483,36.8235754335637,15.4032160560996,-19.405150525934
24,"Chaotic","Periodic Fixed",11.6548042704626,19.5729537366548,10.9765329295988,19.7426192278577,-2.73101384212495,-3.19865319865319
24,"Chaotic Visual","Periodic Fixed",-0.0723738626964526,12.3138957816377,4.12280701754386,6.78947368421052,-3.75697555607955,5.05776939401084
24,"Periodic Fadeout (SCT)","Periodic Fixed",3.77629406274679,3.10144303252207,-27.4991106367841,-9.6478121664888,34.2729970326409,7.49258160237389
24,"Periodic Fixed","Periodic Fixed",3.16556593031201,-10.9314506946026,11.3163261379815,5.89864942860441,-10.5968639352554,-19.2336874051593
25,"Chaotic","Chaotic Interactive",13.1249056033832,10.1495242410512,-31.9901385700927,-18.6814588115277,62.0498614958449,32.7562326869806
25,"Chaotic Visual","Chaotic Interactive",-7.17042453788341,6.33759902498476,-0.348368170150341,-4.18041804180418,-6.83940501236481,10.9400952275496
25,"Periodic Fadeout (SCT)","Chaotic Interactive",12.0757695343331,13.5753749013417,-22.6502370395962,-28.427477399666,40.0881057268722,56.7400881057269
25,"Periodic Fixed","Chaotic Interactive",3.39594004932651,10.5008537279454,-36.1184190631709,-26.7894402612719,59.9711578079934,60.5067985166873
26,"Chaotic","Chaotic Interactive",-8.48484848484848,26.6818181818182,-13.1438190654612,-51.7390241915777,7.27788279773157,124.952741020794
26,"Chaotic Visual","Chaotic Interactive",-2.67899478425794,15.4694167852063,-1.71839382780993,7.9431877958969,-0.696234006962339,7.26976807269769
26,"Periodic Fadeout (SCT)","Chaotic Interactive",1.95981146117588,-6.99578268419747,-23.7805456027602,-18.6373201387704,36.1227336122733,11.2133891213389
26,"Periodic Fixed","Chaotic Interactive",12.5043538836642,43.120863810519,-32.9007096732945,-51.9020522984464,72.7783283779319,176.808721506442
27,"Chaotic","Periodic Fixed",6.91345503718727,-29.5638945233266,4.7462457524937,-23.8079579085827,4.87179487179487,-6.92307692307692
27,"Chaotic Visual","Periodic Fixed",-4.6288906624102,-12.0510774142059,3.76930063578565,-1.81653042688465,-9.02512446451313,-11.2712747481764
27,"Periodic Fadeout (SCT)","Periodic Fixed",14.2197353228528,18.8915534239275,30.2466111383309,-7.53307202351788,-8.20312499999998,29.1666666666667
27,"Periodic Fixed","Periodic Fixed",273.505976095618,175.996015936255,-14.7014648799423,-7.29709169641289,334.758771929825,200.986842105263
28,"Chaotic","Chaotic Interactive",12.7473897459872,11.7344553529687,-11.7807946690537,-0.566910338654338,26.9151138716356,12.7329192546584
28,"Chaotic Visual","Chaotic Interactive",-8.74265323257766,15.9319899244333,-0.647580095432856,2.40286298568508,-7.89636027143739,13.4361505243677
28,"Periodic Fadeout (SCT)","Chaotic Interactive",1.57833767738198,-1.12945264986969,4.35084070029468,25.1170046801872,-3.63186132893108,-21.5435410647957
28,"Periodic Fixed","Chaotic Interactive",7.36889692585895,58.3182640144665,1.86926875146954,-9.89889489771926,4.80572597137012,75.383435582822
30,"Chaotic","Chaotic Interactive",29.7405189620759,12.9241516966068,-30.7188669160877,-21.9401389631213,82.5685846079146,42.8987618353969
30,"Chaotic Visual","Chaotic Interactive",-9.14671577655004,-5.04604051565377,-1.73847316704459,-4.47845804988662,-7.93609783404384,-0.968867071437807
30,"Periodic Fadeout (SCT)","Chaotic Interactive",92.2077922077922,29.2467532467532,-17.2952680286363,-14.510214772132,144.864148442677,52.0874751491054
30,"Periodic Fixed","Chaotic Interactive",233.333333333333,44.5812807881774,0.328643698534041,56.94029024039,212.841530054645,-14.5491803278688
